Feature ID	Taxon	Confidence
e879307ee8969a964f34d158e8aa24db	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__	0.915938461
4ea0869e3cc334cf9a1197a1b3e103d9	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__	0.945627911
b3bca94298ce23fd9c85ab7884bf5811	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__	0.924808206
5e6e35d70813518ecea9b446171669f2	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Agrococcus;s__	0.998013591
c7cf8f9aa6733cde743d76a4147b9403	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Agrococcus;s__	0.985070874
94a703f82aaa0b27369f112d08327162	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae	0.990682439
8a29992564c63d4c7f2fc1a5c732b99e	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae	0.996765345
ebb31d1453b4e3592c6f527c9ec210cf	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae	0.999845202
6f7385fbaec47121a480c89e83bb67c7	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__	0.836165709
fe2f129bf302dfe35eb701dc17f4e1a7	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__	0.873526429
78849fe4c1e26973c2a70cf0727da7e8	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__	0.846842936
