sample-id	IMR quality control	voucher image	species	stage	morph	sex	year	month	city	site_name	latitude	longitude	host_plant	temp_degF	relative_humidity	windspeed_mph	D_ng_ul	A260_280	Adjusted for sequencing conc.
																			
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	numeric	categorical	categorical	categorical	numeric	numeric	categorical	numeric	numeric	numeric	numeric	numeric	
																			
FJ190109-013	passed	TRUE	Jhae	adult	LW	m	2019	January	Kendall Lakes FL	Kendall Lakes	25.713854	-80.420306	GRT	76	47.2	0	59.36	2.26	yes
																			
FJ190109-014	passed	TRUE	Jhae	adult	LW	f	2019	January	Kendall Lakes FL	Kendall Lakes	25.713854	-80.420306	GRT	76	47.2	0	782.21	2.18	diluted to 185.5
																			
FJ190109-016	passed	TRUE	Jhae	adult	LW	f	2019	January	Kendall Lakes FL	Kendall Lakes	25.713854	-80.420306	GRT	76	47.2	0	1279.27	2.18	diluted to 185.4
																			
FJ190109-017	passed	TRUE	Jhae	adult		m	2019	January	Kendall Lakes FL	Kendall Lakes	25.713854	-80.420306	GRT	76	47.2	0	78.3	2.14	yes
																			
FJ190109-018	passed	TRUE	Jhae	adult	SW	m	2019	January	Kendall Lakes FL	Kendall Lakes	25.713854	-80.420306	GRT	76	47.2	0	48.44	1.95	yes
																			
FJ190109-019	passed	TRUE	Jhae	adult	SW	m	2019	January	Kendall Lakes FL	Kendall Lakes	25.713854	-80.420306	GRT	76	47.2	0	127.19	2.18	yes
																			
FJ190109-021	passed	TRUE	Jhae	instar5		m	2019	January	Miami-Dade County FL	Silver Palm Dr	25.550613	-80.468954	GRT	74.5	57.8	0	49.88	2.12	yes
																			
FJ190109-022	failed	TRUE	Jhae	instar4			2019	January	Miami-Dade County FL	Silver Palm Dr	25.550613	-80.468954	GRT	74.5	57.8	0	11.4	2.02	yes
																			
FJ190109-023	passed	TRUE	Jhae	instar4			2019	January	Miami-Dade County FL	Silver Palm Dr	25.550613	-80.468954	GRT	74.5	57.8	0	115.92	2.1	yes
																			
FJ190729-005	passed	TRUE	Jhae	adult	SW	m	2019	July	Lakeland FL	Lakeland Hills Blvd	28.092696	-81.95365	GRT	95.4	46.4	0	199.11	2.23	diluted to 132.2
																			
FJ190729-006	passed	FALSE	Jhae	adult	SW	f	2019	July	Lakeland FL	Lakeland Hills Blvd	28.092696	-81.95365	GRT	95.4	46.4	0	273.59	2.15	diluted to 153.2
																			
FJ190729-007	passed	TRUE	Jhae	adult	SW	m	2019	July	Lakeland FL	St. Joseph Academy	28.03337	-81.955172	GRT	92.4	55.8	0	94.33	0.828	yes
																			
FJ190729-008	passed	TRUE	Jhae	adult	LW	m	2019	July	Lakeland FL	St. Joseph Academy	28.03337	-81.955172	GRT	92.4	55.8	0	249.61	2.233	diluted to 119.0
																			
FJ190729-009	passed	FALSE	Jhae	adult	LW	f	2019	July	Lakeland FL	St. Joseph Academy	28.03337	-81.955172	GRT	92.4	55.8	0	163.52	2.22	yes
																			
FJ190729-038	passed	FALSE	Jhae	adult	LW	f	2019	July	Lake Wales FL	Sunoco	27.959416	-81.594083	GRT	94	46.7	1	65.65	2.21	yes
																			
FJ190729-039	passed	FALSE	Jhae	adult	LW	f	2019	July	Lake Wales FL	Sunoco	27.959416	-81.594083	GRT	94	46.7	1	169.57	2.19	yes
																			
FJnDRA190730-001	passed	TRUE	Jhae	adult	LW	m	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-002	passed	TRUE	Jhae	adult	LW	m	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-003	passed	TRUE	Jhae	adult	LW	m	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-004	passed	TRUE	Jhae	adult	LW	m	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-005	passed	TRUE	Jhae	adult	LW	m	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-006	passed	TRUE	Jhae	adult	LW	m	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-007	passed	TRUE	Jhae	adult	LW	m	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-008	passed	TRUE	Jhae	adult	SW	m	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-009	failed	TRUE	Jhae	adult	SW	m	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-011	passed	TRUE	Jhae	adult	SW	m	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-012	passed	FALSE	Jhae	juvenile			2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-013	passed	TRUE	Jhae	adult	SW	f	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-014	passed	TRUE	Jhae	adult	LW	m	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-015	failed	TRUE	Jhae	adult	LW	m	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-016	passed	TRUE	Jhae	adult	LW	m	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-017	passed	TRUE	Jhae	adult	LW	m	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-018	failed	FALSE	Jhae	adult	LW	f	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-019	passed	FALSE	Jhae	adult	LW	f	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-020	passed	FALSE	Jhae	adult	LW	f	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-021	passed	FALSE	Jhae	adult	LW	f	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-022	passed	FALSE	Jhae	adult	LW	f	2019	July	Delrey Beach FL	Delrey Beach	26.474247	-80.091139	GRT	85.6	75.8	1			
																			
FJnDRA190730-023	passed	FALSE	Jhae	adult	SW	f	2019	July	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	83.6	78	1.3			
																			
FJnDRA190730-024	passed	FALSE	Jhae	adult	SW	f	2019	July	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	83.6	78	1.3			
																			
FJnDRA190730-025	passed	FALSE	Jhae	adult	SW	f	2019	July	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	83.6	78	1.3			
																			
FJnDRA190730-026	passed	TRUE	Jhae	adult	LW	m	2019	July	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	83.6	78	1.3			
																			
FJnDRA190730-027	passed	TRUE	Jhae	adult	LW	m	2019	July	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	83.6	78	1.3			
																			
FJnDRA190730-028	passed	FALSE	Jhae	adult	LW	m	2019	July	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	83.6	78	1.3			
																			
FJnDRA190730-029	passed	FALSE	Jhae	adult	LW	m	2019	July	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	83.6	78	1.3			
																			
FJnDRA190730-030	passed	FALSE	Jhae	adult	LW	f	2019	July	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	83.6	78	1.3			
																			
FJnDRA190730-031	failed	FALSE	Jhae	adult	LW	f	2019	July	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	83.6	78	1.3			
																			
FJnDRA190730-032	passed	FALSE	Jhae	adult	LW	f	2019	July	Fort Lauderdale FL	Tamarac	26.188383	-80.172008	GRT	83.6	78	1.3			
																			
HHW230705-001	passed	TRUE	Jhae	adult	LW	m	2023	July	Islamorada FL	Windley Key	24.9501	-80.5957	BV				197.84	2.17	diluted to 131.7
																			
HHW230705-002	passed	TRUE	Jhae	adult	SW	m	2023	July	Islamorada FL	Windley Key	24.9501	-80.5957	BV				238.71	2.05	diluted to 169.5
																			
HHW230705-003	passed	TRUE	Jhae	adult	LW	m	2023	July	Islamorada FL	Windley Key	24.9501	-80.5957	BV				129.48	2.14	yes
																			
HHW230705-005	passed	TRUE	Jhae	adult	SW	m	2023	July	Islamorada FL	Windley Key	24.9501	-80.5957	BV				776.6	2.19	diluted to 171.5
																			
HHW230705-006	failed	TRUE	Jhae	adult	LW	m	2023	July	Islamorada FL	Windley Key	24.9501	-80.5957	BV				635.63	2.11	diluted to 169.5
																			
MEM190720-001	failed	FALSE	Btri	juvenile			2019	July	Waterville ME	North St Rec Trail	44.557811	-69.642934	Box Elder				132.52	2.15	yes
																			
MEM190720-002	failed	FALSE	Btri	juvenile			2019	July	Waterville ME	North St Rec Trail	44.557811	-69.642934	Box Elder				288.3	2.1	diluted to 156.7
																			
MEM190720-003	passed	FALSE	Btri	adult			2019	July	Waterville ME	North St Rec Trail	44.557811	-69.642934	Box Elder				142.51	2.2	yes
																			
MEM190720-004	failed	FALSE	Btri	adult			2019	July	Waterville ME	North St Rec Trail	44.557811	-69.642934	Box Elder				469.24	2.15	diluted to 177.2
																			
MEM190720-005	passed	FALSE	Btri	adult			2019	July	Waterville ME	North St Rec Trail	44.557811	-69.642934	Box Elder				391.51	2.17	diluted to 157.4
																			
MEM190720-006	failed	FALSE	Btri	adult			2019	July	Waterville ME	North St Rec Trail	44.557811	-69.642934	Box Elder				254.61	2.18	diluted to 139.0
