# Constructed from biom file																																																																																																																																																																																																												
#OTU ID	DRA190110-001	DRA190110-002	DRA190110-003	DRA190110-004	DRA190110-005	DRA190110-006	DRA190110-007	DRA190110-008	DRA190110-009	DRA190110-010	DRA190110-011	DRA190110-012	DRA190110-013	DRA190112-001	DRA190118-002	DRA190118-003	DRA190118-004	DRA190118-005	DRA190118-006	DRA190118-009	DRA190118-010	DRA190118-011	DRA190118-012	DRA190118-016	DRA190118-019	DRA190724-014	DRA190729-001	DRA190729-002	DRA190729-003	DRA190729-004	DRA190729-010	DRA190729-011	DRA190729-013	DRA190729-015	DRA190729-016	DRA190729-018	DRA190729-019	DRA190729-020	DRA190729-021	DRA190729-024	DRA190729-025	DRA190729-026	DRA190729-032	DRA190729-033	DRA190729-034	DRA190729-035	DRA190729-036	DRA190729-037	DRA190804-017	DRAnFJ190726-001	DRAnFJ190726-058	DRAnFJ190726-059	DRAnFJ190726-062	DRAnFJ190729-022	DRAnFJ190729-023	DRAnFJ190729-027	DRAnFJ190729-028	DRAnFJ190729-029	DRAnFJ190729-031	DRAnFJ190729-032	DRAnFJ190729-041	DRAnFJ190729-042	DRAnFJ190729-043	DRAnFJ190729-044	DRAnFJ190729-045	DRAnFJ190729-046	DRAnFJ190729-047	DRAnFJ190729-048	DRAnFJ190729-049	DRAnFJ190729-050	DRAnFJ190729-051	DRAnFJ190729-052	DRAnFJ190729-053	DRAnFJ190729-054	DRAnFJ190729-055	DRAnFJ190729-056	DRAnFJ190729-057	DRAnFJ190729-062	DRAnFJ190729-063	DRAnFJ190729-064	DRAnFJ190729-065	DRAnFJ190729-066	DRAnFJ190729-067	DRAnFJ190729-068	DRAnFJ190729-069	FJ190108-001	FJ190108-002	FJ190108-003	FJ190108-004	FJ190108-006	FJ190108-007	FJ190108-008	FJ190108-009	FJ190108-010	FJ190108-011	FJ190108-012	FJ190108-013	FJ190108-014	FJ190108-015	FJ190108-016	FJ190108-017_plate1	FJ190108-017_plate2	FJ190108-018	FJ190108-019	FJ190108-020	FJ190108-021	FJ190108-022	FJ190108-023	FJ190108-024	FJ190108-025	FJ190108-026	FJ190108-027	FJ190108-028	FJ190108-029	FJ190108-030	FJ190108-031	FJ190108-032	FJ190108-033	FJ190108-033a	FJ190108-035	FJ190108-036	FJ190108-037	FJ190108-038	FJ190108-038a	FJ190108-040	FJ190108-041	FJ190108-043	FJ190108-044	FJ190108-045	FJ190108-046	FJ190108-047	FJ190108-048	FJ190108-049	FJ190108-050	FJ190109-001	FJ190109-002	FJ190109-003	FJ190109-004	FJ190109-005	FJ190109-006	FJ190109-007	FJ190109-008	FJ190109-009	FJ190109-010	FJ190109-012	FJ190109-013	FJ190109-014	FJ190109-016	FJ190109-017	FJ190109-017a	FJ190109-018	FJ190109-019	FJ190109-021	FJ190109-022	FJ190109-023	FJ190729-005	FJ190729-006	FJ190729-007	FJ190729-008	FJ190729-009	FJ190729-038	FJ190729-039	FJnDRA190730-001	FJnDRA190730-002	FJnDRA190730-003	FJnDRA190730-004	FJnDRA190730-005	FJnDRA190730-006	FJnDRA190730-007	FJnDRA190730-008	FJnDRA190730-009	FJnDRA190730-011	FJnDRA190730-012	FJnDRA190730-013	FJnDRA190730-014	FJnDRA190730-015	FJnDRA190730-016	FJnDRA190730-017	FJnDRA190730-018	FJnDRA190730-019	FJnDRA190730-020	FJnDRA190730-021	FJnDRA190730-022	FJnDRA190730-023	FJnDRA190730-024	FJnDRA190730-025	FJnDRA190730-026	FJnDRA190730-027	FJnDRA190730-028	FJnDRA190730-029	FJnDRA190730-030	FJnDRA190730-031	FJnDRA190730-032	HHW230705-001	HHW230705-002	HHW230705-003	HHW230705-005	HHW230705-006	MEM190720-001	MEM190720-002	MEM190720-003	MEM190720-004	MEM190720-005	MEM190720-006
050086286d41bd135dfb39c9ef80bc8f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8aa05f21ee8c270308eae6edf572a1ab	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	21	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c9383b2d3f400e2f4236fe54a5d738e6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f1d38f04e570af5dbdaf9903a9915e3f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8ff87e569cf1f5dd945145c0e433338f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
04b511e2f8ab43657246f749ca05ec3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9693	25	0	0	0	0	0	0	17	0	0	5	227	0	0	0	0	0	0	0	0	0	0	5	0	0	19	14	2	0	369	12	108	3102	0	0	0	0	0	0	0	31	0	0	0	0	0	2	45	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
675a0962f1197511dde4ff1172f15cf5	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	762	0	0	0	60	0	9	6	0	66	0	0	0	0	0	0	0	0	0	439	0	246	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	2	10	0	0	13	0	0	0	0	0
713bd9f74600877e29758d167ee23809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5f6b715d4e3ef710209c96a436c491b0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90f5a17f2ba978acd0e72f9ee18ef490	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
